Speaker,Topic,Score,AtDebate,Speech,Score
Trump,Abortion,-0.2639,TRUE,"And that's why I did that, because that predominates. Because they're radical. The Democrats are radical in that. And her vice presidential pick, which I think was a horrible pick, by the way for our country, because he is really out of it. But her vice presidential pick says abortion in the ninth month is absolutely fine. He also says execution after birth, it's execution, no longer abortion, because the baby is born, is okay. And that's not okay with me. Hence the vote. But what I did is something for 52 years they've been trying to get Roe v. Wade into the states.",-0.2639
Trump,Criminal Justice,0.9883,TRUE,"And through the genius and heart and strength of six supreme court justices we were able to do that. Now, I believe in the exceptions for rape, incest and life of the mother. I believe strongly in it. Ronald Reagan did also. 85% of Republicans do. Exceptions. Very important. But we were able to get it. And now states are voting on it. And for the first time you're going to see -- look, this is an issue that's torn our country apart for 52 years. Every legal scholar, every Democrat, every Republican, liberal, conservative, they all wanted this issue to be brought back to the states where the people could vote. And that's what happened, happened. Now, Ohio, the vote was somewhat liberal. Kansas the vote was somewhat liberal. Much more liberal than people would have thought. But each individual state is voting. It's the vote of the people now. It's not tied up in the federal government. I did a great service in doing it. It took courage to do it. And the supreme court had great courage in doing it. And I give tremendous credit to those six justices.",0.9883
Harris,Opposing Candidate,-0.6816,TRUE,"Well, as I said, you're going to hear a bunch of lies. And that's not actually a surprising fact. Let's understand how we got here. Donald Trump hand-selected three members of the United States Supreme Court with the intention that they would undo the protections of Roe v. Wade. And they did exactly as he intended. And now in over 20 states there are Trump abortion bans which make it criminal for a doctor or nurse to provide health care. In one state it provides prison for life. Trump abortion bans that make no exception even for rape and incest. Which understand what that means. A survivor of a crime, a violation to their body, does not have the right to make a decision about what happens to their body next. That is immoral. And one does not have to abandon their faith or deeply held beliefs to agree the government, and Donald Trump certainly, should not be telling a woman what to do with her body.",-0.6816
Harris,Opposing Candidate,0.2975,TRUE,"I have talked with women around our country. You want to talk about this is what people wanted? Pregnant women who want to carry a pregnancy to term suffering from a miscarriage, being denied care in an emergency room because the health care providers are afraid they might go to jail and she's bleeding out in a car in the parking lot? She didn't want that. Her husband didn't want that. A 12 or 13-year-old survivor of incest being forced to carry a pregnancy to term? They don't want that. And I pledge to you when Congress passes a bill to put back in place the protections of Roe v. Wade as president of the United States, I will proudly sign it into law. But understand, if Donald Trump were to be re-elected, he will sign a national abortion ban. Understand in his Project 2025 there would be a national abortion ban. Understand in his Project 2025 there would be a national abortion -- a monitor that would be monitoring your pregnancies, your miscarriages. I think the American people believe that certain freedoms, in particular the freedom to make decisions about one's own body, should not be made by the government.",0.2975
Trump,Abortion,-0.9472,TRUE,"Well, there she goes again. It's a lie. I'm not signing a ban. And there's no reason to sign a ban. Because we've gotten what everybody wanted. Democrats, Republicans and everybody else and every legal scholar wanted it to be brought back into the states. And the states are voting. And it may take a little time, but for 52 years this issue has torn our country apart. And they've wanted it back in the states. And I did something that nobody thought was possible. The states are now voting. What she says is an absolute lie. And as far as the abortion ban, no, I'm not in favor of abortion ban. But it doesn't matter because this issue has now been taken over by the states.",-0.9472
Trump,Abortion,-0.6055,TRUE,"Well, I won't have to because again -- two things. Number one, she said she'll go back to congress. She'll never get the vote. It's impossible for her to get the vote. Especially now with a 50-50 --essentially 50-50 in both senate and the house. She's not going to get the vote. She can't get the vote. She won't even come close to it. So it's just talk. You know what it reminds me of? When they said they're going to get student loans terminated and it ended up being a total catastrophe. The student loans -- and then her I think probably her boss, if you call him a boss, he spends all his time on the beach, but look, her boss went out and said we'll do it again, we'll do it a different way. He went out, got rejected again by the supreme court. So all these students got taunted with this whole thing about -- this whole idea. And how unfair that would have been. Part of the reason they lost. To the millions and millions of people that had to pay off their student loans. They didn't get it for free. But they were saying -- it's the same way that they talked about that, that they talk about abortion.",-0.6055
Trump,Abortion,0.9357,TRUE,"Well, I didn't discuss it with JD In all fairness. JD -- And I don't mind if he has a certain view but I think he was speaking for me but I really didn't. Look, we don't have to discuss it because she'd never be able to get it just like she couldn't get student loans. They couldn't get -- they didn't even come close to getting student loans. They didn't even come close to getting student loans. They taunted young people and a lot of other people that had loans. They can never get this approved. So it doesn't matter what she says about going to congress. Wonderful. Let's go to congress. Do it. But the fact is that for years they wanted to get it out of congress and out of the federal government and we did something that everybody said couldn't be done. And now you have a vote of the people on abortion.",0.9357
Harris,Economy,0.9249,TRUE,"I absolutely support reinstating the protections of Roe v. Wade. And as you rightly mentioned, nowhere in America is a woman carrying a pregnancy to term and asking for an abortion. That is not happening. It's insulting to the women of America. And understand what has been happening under Donald Trump's abortion bans. Couples who pray and dream of having a family are being denied IVF treatments. What is happening in our country, working people, working women who are working one or two jobs, who can barely afford childcare as it is, have to travel to another state to get on a plane sitting next to strangers, to go and get the health care she needs. Barely can afford to do it. And what you are putting her through is unconscionable. And the people of America have not -- the majority of Americans believe in a woman's right to make decisions about her own body. And that is why in every state where this issue has been on the ballot, in red and blue states both, the people of America have voted for freedom.",0.9249
Trump,Abortion,-0.4201,TRUE,"Excuse me, I have to respond. Another lie. It's another lie. I have been a leader on IVF which is fertilization. The IVF -- I have been a leader. In fact, when they got a very negative decision on IVF from the Alabama courts, I saw the people of Alabama and the legislature two days later voted it in. I've been a leader on it. They know that and everybody else knows it. I have been a leader on fertilization, IVF. And the other thing, they -- you should ask, will she allow abortion in the eighth month, ninth month, seventh month?",-0.4201
Harris,None,0.0,TRUE,Come on.,0.0
Trump,None,0.0,TRUE,Would you do that? Why don't you ask her that question --,0.0
Harris,None,0.0,TRUE,Why don't you answer the question would you veto –,0.0
Trump,None,-0.4019,TRUE,That's the problem. Because under Roe v. Wade.,-0.4019
Harris,None,0.0,TRUE,"Answer the question, would you veto--",0.0
Trump,Abortion,0.0,TRUE,"You could do abortions in the seventh month, the eighth month, the ninth month -",0.0
Harris,None,-0.3252,TRUE,That's not true.,-0.3252
Trump,None,0.0772,TRUE,"And probably after birth. Just look at the governor, former governor of Virginia. The governor of Virginia said we put the baby aside and then we determine what we want to do with the baby.",0.0772
Harris,Immigration,-0.9583,TRUE,"So I'm the only person on this stage who has prosecuted transnational criminal organizations for the trafficking of guns, drugs, and human beings. And let me say that the United States Congress, including some of the most conservative members of the United States Senate, came up with a border security bill which I supported. And that bill would have put 1,500 more border agents on the border to help those folks who are working there right now over time trying to do their job. It would have allowed us to stem the flow of fentanyl coming into the United States. I know there are so many families watching tonight who have been personally affected by the surge of fentanyl in our country. That bill would have put more resources to allow us to prosecute transnational criminal organizations for trafficking in guns, drugs and human beings. But you know what happened to that bill? Donald Trump got on the phone, called up some folks in Congress, and said kill the bill. And you know why? Because he preferred to run on a problem instead of fixing a problem. And understand, this comes at a time where the people of our country actually need a leader who engages in solutions, who actually addresses the problems at hand. But what we have in the former president is someone who would prefer to run on a problem instead of fixing a problem. And I'll tell you something, he's going to talk about immigration a lot tonight even when it's not the subject that is being raised. And I'm going to actually do something really unusual and I'm going to invite you to attend one of Donald Trump's rallies because it's a really interesting thing to watch. You will see during the course of his rallies he talks about fictional characters like Hannibal Lecter. He will talk about windmills cause cancer. And what you will also notice is that people start leaving his rallies early out of exhaustion and boredom. And I will tell you the one thing you will not hear him talk about is you. You will not hear him talk about your needs, your dreams, and your, your desires. And I'll tell you, I believe you deserve a president who actually puts you first. And I pledge to you that I will.",-0.9583
Trump,None,0.5574,TRUE,"Well, I would like to respond.",0.5574
Trump,None,-0.7633,TRUE,"First let me respond as to the rallies. She said people start leaving. People don't go to her rallies. There's no reason to go. And the people that do go, she's busing them in and paying them to be there. And then showing them in a different light. So, she can't talk about that. People don't leave my rallies. We have the biggest rallies, the most incredible rallies in the history of politics. That's because people want to take their country back. Our country is being lost. We're a failing nation. And it happened three and a half years ago. And what, what's going on here, you're going to end up in World War 3, just to go into another subject. What they have done to our country by allowing these millions and millions of people to come into our country. And look at what's happening to the towns all over the United States. And a lot of towns don't want to talk -- not going to be Aurora or Springfield. A lot of towns don't want to talk about it because they're so embarrassed by it. In Springfield, they're eating the dogs. The people that came in. They're eating the cats. They're eating -- they're eating the pets of the people that live there. And this is what's happening in our country. And it's a shame. As far as rallies are concerned, as far -- the reason they go is they like what I say. They want to bring our country back. They want to make America great again. It's a very simple phrase. Make America great again. She's destroying this country. And if she becomes president, this country doesn't have a chance of success. Not only success. We'll end up being Venezuela on steroids.",-0.7633
Trump,None,0.2732,TRUE,"Well, I've seen people on television",0.2732
Trump,None,0.4404,TRUE,The people on television say my dog was taken and used for food. So maybe he said that and maybe that's a good thing to say for a city manager.,0.4404
Trump,None,0.0,TRUE,But the people on television say their dog was eaten by the people that went there.,0.0
Trump,None,0.0,TRUE,We'll find out,0.0
Harris,Opposing Candidate,-0.0475,TRUE,"Talk about extreme. Um, you know, this is I think one of the reasons why in this election I actually have the endorsement of 200 Republicans who have formally worked with President Bush, Mitt Romney, and John McCain including the endorsement of former Vice President Dick Cheney and Congressmember Liz Cheney. And if you want to really know the inside track on who the former president is, if he didn't make it clear already, just ask people who have worked with him. His former chief of staff, a four-star general, has said he has contempt for the constitution of the United States. His former national security adviser has said he is dangerous and unfit. His former secretary of defense has said the nation, the republic would never survive another Trump term. And when we listen to this kind of rhetoric, when the issues that affect the American people are not being addressed, I think the choice is clear in this election.",-0.0475
Trump,Economy,-0.9362,TRUE,"Yeah. Thank you. Because when I hear that -- see, I'm a different kind of a person. I fired most of those people. Not so graciously. They did bad things or a bad job. I fired them. They never fired one person. They didn't fire anybody having to do with Afghanistan and the Taliban and the 13 people whose, whose, were just killed viciously and violently killed and I got to know the parents and the family. They should have fired all those generals, all those top people because that was one of the most incompetently handled situations anybody has ever seen. So when somebody does a bad job I fire them. And you take a guy like Esper. He was no good, I fired him. So he writes a book. Another one writes a book. Because with me they can write books. With nobody else can they. But they have done such a poor job. And they never fire anybody. Look at the economy. Look at the inflation. They didn't fire any of their economists. They have the same people. That's a good way not to have books written about you. But just to finish, I got more votes than any Republican in history by far. In fact, I got more votes than any president, sitting president in history by far.",-0.9362
Trump,Criminal Justice,0.0,TRUE,With local police.,0.0
Trump,Criminal Justice,-0.992,TRUE,"Yeah. It is much higher because of them. They allowed criminals. Many, many, millions of criminals. They allowed terrorists. They allowed common street criminals. They allowed people to come in, drug dealers, to come into our country, and they're now in the United States. And told by their countries like Venezuela don't ever come back or we're going to kill you. Do you know that crime in Venezuela and crime in countries all over the world is way down? You know why? Because they've taken their criminals off the street and they've given them to her to put into our country. And this will be one of the greatest mistakes in history for them to allow -- and I think they probably did it because they think they're going to get votes. But it's not worth it. Because they're destroying the fabric of our country by what they've done. There's never been anything done like this at all. They've destroyed the fabric of our country. Millions of people let in. And all over the world crime is down. All over the world except here. Crime here is up and through the roof. Despite their fraudulent statements that they made. Crime in this country is through the roof. And we have a new form of crime. It's called migrant crime. And it's happening at levels that nobody thought possible.",-0.992
Trump,Economy,-0.8445,TRUE,"use me, the FBI -- they were defrauding statements. They didn't include the worst cities. They didn't include the cities with the worst crime. It was a fraud. Just like their number of 818,000 jobs that they said they created turned out to be a fraud.",-0.8445
Harris,Economy,0.5448,TRUE,"Well, I think this is so rich. Coming from someone who has been prosecuted for national security crimes, economic crimes, election interference, has been found liable for sexual assault and his next big court appearance is in November at his own criminal sentencing. And let's be clear where each person stands on the issue of what is important about respect for the rule of law and respect for law enforcement. The former vice president called for defunding, federal law enforcement, 45,000 agents, get this, on the day after he was arraigned on 34 felony counts. So let's talk about what is important in this race. It is important that we move forward, that we turn the page on this same old tired rhetoric. And address the needs of the American people, address what we",0.5448
Trump,Opposing Candidate,0.631,TRUE,"Excuse me. Every one of those cases was started by them against their political opponent. And I'm winning most of them and I'll win the rest on appeal. And you saw that with the decision that came down just recently from the Supreme Court. I'm winning most of them. But those are cases, it's called weaponization. Never happened in this country. They weaponized the justice department. Every one of those cases was involved with the DOJ, from Atlanta and Fani Willis -- to the attorney general of New York and the D.A. In New York. Every one of those cases. And then they say oh, he was -- he's a criminal. They're the ones that made them go after me. By the way, Joe Biden was found essentially guilty on the documents case. And what happened in my documents case? They said oh, that's the toughest of them all. A complete and total victory. Two months ago it was thrown out. It's weaponization. And they used it. And it's never happened in this country. They used it to try and win an election. They're fake cases.",0.631
Harris,Opposing Candidate,0.8854,TRUE,"Well let's talk about extreme. And understand the context in which this election in 2024 is taking place. The United States Supreme Court recently ruled that the former president would essentially be immune from any misconduct if he were to enter the white house again. Understand, this is someone who has openly said he would terminate, I'm quoting, terminate the constitution of the United States. That he would weaponize the Department of Justice against his political enemies. Someone who has openly expressed disdain for members of our military. Understand what it would mean if Donald Trump were back in the white house with no guardrails. Because certainly, we know now the court won't stop him. We know JD Vance is not going to stop him. It's up to the American people to stop him.",0.8854
Trump,War in Ukraine,-0.872,TRUE,This is the one that weaponized. Not me. She weaponized. I probably took a bullet to the head because of the things that they say about me. They talk about democracy. I'm a threat to democracy. They're the threat to democracy – With the fake Russia Russia Russia investigation that went nowhere.,-0.872
Harris,Economy,0.9954,TRUE,"So my values have not changed. And I'm going to discuss every one -- at least every point that you've made. But in particular, let's talk about fracking because we're here in Pennsylvania. I made that very clear in 2020. I will not ban fracking. I have not banned fracking as Vice President of the United States. And, in fact, I was the tie-breaking vote on the Inflation Reduction Act, which opened new leases for fracking. My position is that we have got to invest in diverse sources of energy so we reduce our reliance on foreign oil. We have had the largest increase in domestic oil production in history because of an approach that recognizes that we cannot over rely on foreign oil. As it relates to my values, let me tell you, I grew up a middle-class kid raised by a hard-working mother who worked and saved and was able to buy our first home when I was a teenager. The values I bring to the importance of home ownership knowing not everybody got handed $400 million on a silver platter and then filed bankruptcy six times, is a value that I bring to my work to say we are going to work with the private sector and home builders to increase 3 million homes, increase by 3 million homes by the end of my first term. My work that is related to having a friend when I was in high school who was sexually assaulted by her stepfather. And my focus then, on protecting women and children from violent crime, is based on a value that is deeply grounded in the importance of standing up for those who are most vulnerable. My work that is about protecting social security and Medicare is based on long-standing work that I have done. Protecting seniors from scams. My values have not changed. And what is important is that there is a president who actually brings values and a perspective that is about lifting people up and not beating people down and name-calling. The true measure of the leader is the leader who actually understands that strength is not in beating people down, it's in lifting people up. I intend to be that president.",0.9954
Trump,Criminal Justice,0.9374,TRUE,"Well, first of all, I wasn't given $400 million. I wish I was. My father was a Brooklyn builder. Brooklyn, Queens. And a great father and I learned a lot from him. But I was given a fraction of that, a tiny fraction, and I built it into many, many billions of dollars. Many, many billions. And when people see it, they are even surprised. So, we don't have to talk about that. Fracking? She's been against it for 12 years. Uh, defund the police. She's been against that forever. She gave all that stuff up, very wrongly, very horribly. And everybody's laughing at it, okay? They're all laughing at it. She gave up at least 12 and probably 14 or 15 different policies. Like, she was big on defund the police.",0.9374
Harris,None,-0.3252,TRUE,"That's not true. [mouthed, not audible]",-0.3252
Trump,None,-0.2411,TRUE,"In Minnesota, she went out -- wait a minute. I'm talking now. If you don't mind. Please. Does that sound familiar?",-0.2411
Harris,None,0.0,TRUE,Don't lie. [lie is audible],0.0
Trump,Opposing Candidate,-0.9231,TRUE,"She went out -- she went out in Minnesota and wanted to let criminals that killed people, that burned down Minneapolis, she went out and raised money to get them out of jail. She did things that nobody would ever think of. Now she wants to do transgender operations on illegal aliens that are in prison. This is a radical left liberal that would do this. She wants to confiscate your guns and she will never allow fracking in Pennsylvania. If she won the election, fracking in Pennsylvania will end on day one. Just to finish one thing, so important in my opinion, so, I got the oil business going like nobody has ever done before. They took, when they took over, they got rid of it, started getting rid of it, and the prices were going up the roof. They immediately let these guys go to where they were. I would have been five times, four times, five times higher because you're talking about 3 1/2 years ago. They got it up to where I was because they had no choice. Because the prices of energy were quadrupling and doubling. You saw what happened to gasoline. So, they said let's go back to Trump. But if she won the election, the day after that election, they'll go back to destroying our country and oil will be dead, fossil fuel will be dead. We'll go back to windmills and we'll go back to solar, where they need a whole desert to get some energy to come out. You ever see a solar plant? By the way, I'm a big fan of solar. But they take 400, 500 acres of desert soil--",-0.9231
Trump,None,-0.3412,TRUE,These are not good things for the environment that she understands.,-0.3412
Trump,Immigration,-0.9888,TRUE,"You just said a thing that isn't covered. Peacefully and patriotically, I said during my speech. Not later on. Peacefully and patriotically. And nobody on the other side was killed. Ashli Babbitt was shot by an out-of-control police officer that should have never, ever shot her. It's a disgrace. But we didn't do -- this group of people that have been treated so badly. I ask, what about all the people that are pouring into our country and killing people? That she allowed to pour in. She was the border czar. Remember that. She was the border czar. She doesn't want to be called the border czar because she's embarrassed by the border. In fact, she said at the beginning, I'm surprised you're not talking about the border yet. That's because she knows what a bad job they've done. What about those people? What's, when are they going to be prosecuted -- when are these people from countries all over the world, not just South America, they're coming in from all over the world, David, all over the world. And crime rates are down all over the world because of it --",-0.9888
Trump,None,-0.8943,TRUE,"But when are those, David, when are those people going to be prosecuted? When are the people that burned down Minneapolis going to be prosecuted or in Seattle? They went into Seattle, they took over a big percentage of the city of Seattle. When are those people going to be prosecuted?",-0.8943
Trump,None,0.0,TRUE,You might ask her that question.,0.0
Trump,Economy,-0.3828,TRUE,"I had nothing to do with that other than they asked me to make a speech. I showed up for a speech. I said, I think it's going to be big. I went to Nancy Pelosi and the mayor of Washington, D.C. And the mayor put it back in writing, as you know. I said, you know, this is going to be a very big rally or whatever you want to call it. And again, it wasn't done by me. It was done by others. I said I'd like to give you 10,000 National Guard or soldiers. They rejected me. Nancy Pelosi rejected me. It was just two weeks ago, her daughter has a tape of her saying she is fully responsible for what happened. They want to get rid of that tape. It would have never happened if Nancy Pelosi and the mayor of Washington did their jobs. I wasn't responsible for security. Nancy Pelosi was responsible. She didn't do her job.",-0.3828
Harris,Opposing Candidate,-0.9111,TRUE,"I was at the Capitol on January 6th. I was the Vice President-Elect. I was also an acting senator. I was there. And on that day, the president of the United States incited a violent mob to attack our nation's Capitol, to desecrate our nation's Capitol. On that day, 140 law enforcement officers were injured. And some died. And understand, the former president has been indicted and impeached for exactly that reason. But this is not an isolated situation. Let's remember Charlottesville, where there was a mob of people carrying tiki torches, spewing antisemitic hate, and what did the president then at the time say? There were fine people on each side. Let's remember that when it came to the Proud Boys, a militia, the president said, the former president said, ""Stand back and stand by."" So for everyone watching who remembers what January 6th was, I say we don't have to go back. Let's not go back. We're not going back. It's time to turn the page. And if that was a bridge too far for you, well, there is a place in our campaign for you. To stand for country. To stand for our democracy. To stand for rule of law. And to end the chaos. And to end the approach that is about attacking the foundations of our democracy 'cause you don't like the outcome. And be clear on that point. Donald Trump the candidate has said in this election there will be a bloodbath, if this -- and the outcome of this election is not to his liking. Let's turn the page on this. Let's not go back. Let's chart a course for the future and not go backwards to the past.",-0.9111
Trump,Immigration,0.3639,TRUE,"I have said blood bash, bath. It was a different term, and it was a term that related to energy, because they have destroyed our energy business. That was where bloodbath was. Also, on Charlottesville, that story has been as you would say, debunked. Laura Ingraham, Sean Hannity, Jesse -- all of these people, they covered it. If they go an extra sentence, they will see it was perfect. It was debunked in almost every newspaper. But they still bring it up just like they bring 2025 up. They bring all of this stuff up. I ask you this. You talk about the Capitol. Why are we allowing these millions of people to come through on the southern border? How come she's not doing -- and I'll tell you what I would do. And I would be very proud to do it. I would say we would both leave this debate right now, I'd like to see her go down to Washington, D.C. during this debate 'cause we're wasting a lot of time. Go down to -- because she's been so bad, it's so ridiculous. Go down to Washington, D.C. And let her sign a bill to close up the border. Because they have the right to do it. They don't need bills. They have the right to do it. The President of the United States, you'll get him out of bed. You'll wake him up at 4:00 in the afternoon, you'll say come on. Come on down to the office, let's sign a bill. If he ... if he signs a bill that the border is closed, all he has to do is say it to the border patrol, who are phenomenal. If they do that, the border is closed.",0.3639
Trump,None,-0.6597,TRUE,"Those people are killing many people, unlike J-6.",-0.6597
Trump,None,0.0,TRUE,I said that?,0.0
Trump,None,0.0,TRUE,"No, I don't acknowledge that at all.",0.0
Trump,Immigration,-0.0946,TRUE,"I said that sarcastically. You know that. It was said, oh we lost by a whisker. That was said sarcastically. Look, there's so much proof. All you have to do is look at it. And they should have sent it back to the legislatures for approval. I got almost 75 million votes. The most votes any sitting president has ever gotten. I was told if I got 63, which was what I got in 2016, you can't be beaten. The election, people should never be thinking about an election as fraudulent. We need two things. We need walls. We need -- and we have to have it. We have to have borders. And we have to have good elections.",-0.0946
